transaction_id,customer_age,account_balance,transaction_amount,merchant_rating,credit_score,loan_amount,monthly_income,num_of_dependents,emi_amount,years_with_bank,savings_amount,insurance_amount,investment_score,risk_score,device_type,payment_mode,city,employment_type,loan_status,card_type,customer_segment,transaction_type,fraud_flag,target
2001,25,12000,95000,1.2,320,450000,25000,4,42000,1,5000,15000,15,0.95,Tablet,Wallet,Mumbai,Business,Rejected,Silver,Low,Online,1,1
2002,52,450000,1200,4.8,850,50000,180000,1,5000,15,250000,180000,92,0.12,Laptop,Card,Pune,Salaried,Approved,Platinum,High,Offline,0,0
2003,31,18000,87000,1.5,340,420000,30000,3,39000,2,7000,20000,20,0.91,Mobile,UPI,Nagpur,Self-Employed,Rejected,Silver,Low,Online,1,1
2004,45,390000,2000,4.5,810,70000,160000,1,6000,12,220000,160000,88,0.18,Laptop,Card,Pune,Salaried,Approved,Gold,High,Offline,0,0
2005,29,15000,91000,1.3,360,470000,28000,4,41000,1,6000,18000,18,0.93,Tablet,Wallet,Mumbai,Business,Rejected,Silver,Low,Online,1,1
2006,61,500000,1500,4.9,870,60000,190000,0,4500,18,300000,190000,95,0.1,Laptop,Net Banking,Pune,Salaried,Approved,Platinum,High,Offline,0,0
2007,34,25000,76000,1.7,390,390000,35000,3,37000,3,9000,22000,25,0.88,Mobile,UPI,Nagpur,Self-Employed,Rejected,Silver,Medium,Online,1,1
2008,40,320000,3000,4.6,800,80000,150000,1,7000,10,200000,150000,85,0.2,Laptop,Card,Pune,Salaried,Approved,Gold,High,Offline,0,0
2009,23,10000,98000,1.1,310,480000,24000,4,43000,1,4000,12000,12,0.97,Tablet,Wallet,Mumbai,Business,Rejected,Silver,Low,Online,1,1
2010,56,470000,2500,4.7,860,55000,200000,0,5500,16,280000,175000,93,0.15,Laptop,Net Banking,Pune,Salaried,Approved,Platinum,High,Offline,0,0
2011,37,30000,82000,1.6,420,410000,38000,2,36000,4,12000,25000,30,0.84,Mobile,UPI,Nagpur,Self-Employed,Rejected,Silver,Medium,Online,1,1
2012,49,410000,4000,4.4,790,90000,170000,1,8000,11,210000,140000,82,0.22,Laptop,Card,Pune,Salaried,Approved,Gold,High,Offline,0,0
2013,28,22000,93000,1.4,350,460000,26000,3,40000,2,8000,17000,19,0.92,Tablet,Wallet,Mumbai,Business,Rejected,Silver,Low,Online,1,1
2014,60,490000,3500,4.9,880,65000,210000,0,6500,19,320000,200000,97,0.11,Laptop,Net Banking,Pune,Salaried,Approved,Platinum,High,Offline,0,0
2015,33,27000,88000,1.8,410,430000,36000,2,35000,3,10000,23000,28,0.86,Mobile,UPI,Nagpur,Self-Employed,Rejected,Silver,Medium,Online,1,1
